number,cop.lake,cop.isol.date,worm.fam,worm.lake,worm.expo.date,plate,well.numb,date.dissected,infected.yes.no,cop.sex,numb.worm,note,,,,,,,,,,,,,,,
161,rob,10/6/18,boo11bx1a,boo,10/16/18,p2,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
162,rob,10/6/18,boo11bx1a,boo,10/16/18,p2,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
163,boo,10/4/18,boobulk,boo,10/16/18,p2,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
164,boo,10/4/18,boobulk,boo,10/16/18,p2,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
165,boo,10/4/18,boobulk,boo,10/16/18,p2,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
166,boo,10/4/18,boobulk,boo,10/16/18,p2,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
167,boo,10/4/18,boobulk,boo,10/16/18,p2,4,11/2/18,n,f,0,,,,,,,,,,,,,,,,
168,lau,10/11/18,boo2ax2c,boo,10/16/18,p2,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
169,lau,10/11/18,boo2ax2c,boo,10/16/18,p2,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
170,lau,10/11/18,boo2ax2c,boo,10/16/18,p2,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
171,lau,10/11/18,boo2ax2c,boo,10/16/18,p2,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
172,lau,10/11/18,boo2ax2c,boo,10/16/18,p2,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
173,lau,10/11/18,boo2ax2c,boo,10/16/18,p2,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
174,lau,10/11/18,boo2ax2c,boo,10/16/18,p2,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
175,lau,10/11/18,boo2ax2c,boo,10/16/18,p2,5,11/2/18,n,f,0,,,,,,,,,,,,,,,,
176,ech,10/15/18,g7ax1a,gos,10/16/18,p2,6,11/2/18,y,f,1,,,,,,,,,,,,,,,,
177,ech,10/15/18,g7ax1a,gos,10/16/18,p2,6,11/2/18,y,f,3,,,,,,,,,,,,,,,,
178,ech,10/15/18,g7ax1a,gos,10/16/18,p2,6,11/2/18,y,f,1,,,,,,,,,,,,,,,,
179,ech,10/15/18,g7ax1a,gos,10/16/18,p2,6,11/2/18,y,f,1,,,,,,,,,,,,,,,,
